District,Year,Season,Area (Hectare),Yield (Tonnes/Hectare),Crop,Start_Year,Humidity_Sowing,Humidity_Full,Rainfall_Sowing,Rainfall_Full,Max_Temperature_Sowing,Max_Temperature_Full,Min_Temperature_Sowing,Min_Temperature_Full
agra, 2004-05,Kharif,99841,1.95,Bajra,2004,0.0,13.3525,2.635,1.3175,46.84,39.53,26.68,12.36
agra, 2005-06,Kharif,93316,1.4,Bajra,2005,15.625,12.5575,5.275,1.3175,48.05,41.02,25.4,10.16
agra, 2006-07,Kharif,100918,1.38,Bajra,2006,16.63,12.6775,5.27,0.0,43.73,40.42,24.9,8.7
agra, 2007-08,Kharif,90360,1.25,Bajra,2007,16.39,12.2075,5.27,1.3175,47.99,38.21,26.01,11.3
agra, 2008-09,Kharif,102227,1.57,Bajra,2008,18.98,14.9375,7.91,2.635,43.18,36.55,25.18,8.88
agra, 2009-10,Kharif,105576,1.57,Bajra,2009,13.365,13.7325,2.635,3.9525,47.53,43.06,26.53,7.51
agra, 2010-11,Kharif,121219,1.77,Bajra,2010,14.74,15.505,2.635,2.635,48.71,37.19,26.41,8.42
agra, 2011-12,Kharif,141624,2.11,Bajra,2011,17.61,14.7725,5.27,2.635,47.58,35.9,24.94,10.42
agra, 2012-13,Kharif,115946,2.15,Bajra,2012,14.19,13.885,2.635,3.955,48.61,34.79,25.52,8.3
agra, 2013-14,Kharif,118294,2.4,Bajra,2013,18.37,15.32,5.27,3.955,46.37,33.89,25.33,7.93
agra, 2014-15,Kharif,118146,2.09,Bajra,2014,13.7,12.1475,2.635,1.3175,49.01,38.73,26.98,10.1
agra, 2015-16,Kharif,129352,1.9,Bajra,2015,14.865,11.87,2.635,1.3175,46.71,39.69,24.58,10.46
agra, 2016-17,Kharif,115536,2.45,Bajra,2016,17.09,13.6575,7.91,1.3175,46.73,35.73,25.33,10.0
agra, 2017-18,Kharif,122628,2.38,Bajra,2017,16.145,12.16,2.635,1.3175,46.9,39.3,26.39,8.31
agra, 2018-19,Kharif,113877,2.28,Bajra,2018,16.665,14.8175,5.275,3.955,47.13,34.37,24.92,9.64
agra, 2019-20,Kharif,118486,2.48,Bajra,2019,14.985,16.0075,2.635,2.635,48.75,36.76,25.99,13.06
agra, 2020-21,Kharif,114618,2.45,Bajra,2020,16.51,12.575,2.635,1.3175,44.8,39.47,24.48,9.4
agra,2021-22,Kharif,120854,2.38,Bajra,2021,16.695,15.7925,5.65,3.1925,45.59,35.06,25.42,9.19
aligarh, 2004-05,Kharif,80644,1.86,Bajra,2004,16.48,13.4425,5.27,1.3175,46.5,38.45,25.63,11.58
aligarh, 2005-06,Kharif,88563,1.73,Bajra,2005,15.5,13.9625,5.275,2.635,48.26,39.4,25.58,8.23
aligarh, 2006-07,Kharif,83772,1.72,Bajra,2006,17.18,13.245,7.91,0.0,45.4,39.33,25.51,8.15
aligarh, 2007-08,Kharif,83559,1.91,Bajra,2007,16.785,13.9925,5.27,2.635,48.4,36.08,25.37,10.13
aligarh, 2008-09,Kharif,81069,2.04,Bajra,2008,19.56,16.0525,7.91,3.955,41.73,34.31,25.03,8.24
aligarh, 2009-10,Kharif,79532,1.81,Bajra,2009,13.64,14.8925,2.635,3.9525,46.76,41.7,25.84,7.01
aligarh, 2010-11,Kharif,92970,1.98,Bajra,2010,14.83,16.4475,5.275,3.955,48.02,35.26,24.72,7.9
aligarh, 2011-12,Kharif,82175,1.93,Bajra,2011,18.19,15.61,5.27,3.955,46.18,33.57,25.18,9.88
aligarh, 2012-13,Kharif,91309,2.5,Bajra,2012,14.1,14.1925,2.635,3.955,48.19,35.43,26.48,8.01
aligarh, 2013-14,Kharif,86298,3.12,Bajra,2013,19.26,15.7175,7.91,5.2725,44.62,33.99,24.82,8.23
aligarh, 2014-15,Kharif,84037,2.09,Bajra,2014,13.92,11.81,2.635,2.635,48.9,40.02,26.28,9.98
aligarh, 2015-16,Kharif,89220,2.24,Bajra,2015,15.595,12.4675,5.27,2.635,47.24,38.58,24.48,11.2
aligarh, 2016-17,Kharif,88383,2.3,Bajra,2016,17.64,14.0525,7.91,1.3175,45.45,34.48,25.18,9.97
aligarh, 2017-18,Kharif,87169,2.37,Bajra,2017,16.875,13.5325,2.635,2.635,46.99,37.51,25.67,8.53
aligarh, 2018-19,Kharif,81558,2.2,Bajra,2018,16.815,15.5025,7.91,3.955,46.63,33.03,25.37,10.62
aligarh, 2019-20,Kharif,84345,2.33,Bajra,2019,15.93,15.7925,5.275,2.635,47.94,35.05,25.33,12.38
aligarh,2020-21,Kharif,88582,2.4,Bajra,2020,17.67,12.925,2.635,1.3175,43.26,39.68,24.17,9.29
aligarh,2021-22,Kharif,82544,2.34,Bajra,2021,17.61,15.6575,5.72,3.085,43.83,35.11,25.55,8.51
allahabad, 2004-05,Kharif,28913,0.96,Bajra,2004,17.67,13.75,5.27,2.635,47.27,39.71,25.44,12.97
allahabad, 2005-06,Kharif,26262,1.19,Bajra,2005,16.295,15.2275,7.91,2.635,48.58,35.01,25.23,10.74
allahabad, 2006-07,Kharif,28913,0.92,Bajra,2006,17.12,13.9025,5.275,0.0,46.56,39.83,25.12,10.19
allahabad, 2007-08,Kharif,27672,1.15,Bajra,2007,16.48,14.875,2.635,2.635,48.28,35.17,24.81,11.99
allahabad, 2008-09,Kharif,30254,1.04,Bajra,2008,19.865,16.6025,10.55,3.955,43.69,33.73,24.58,9.53
allahabad, 2009-10,Kharif,27862,0.94,Bajra,2009,14.555,14.6925,2.635,1.3175,46.88,39.64,24.92,9.44
allahabad, 2010-11,Kharif,24615,1.01,Bajra,2010,15.595,15.855,2.635,2.635,47.71,37.11,25.81,12.08
allahabad, 2011-12,Kharif,26651,0.95,Bajra,2011,18.43,16.37,7.91,3.955,46.21,33.3,25.35,10.82
allahabad, 2012-13,Kharif,28879,0.92,Bajra,2012,15.595,15.8675,5.275,3.955,48.8,33.94,24.92,8.83
allahabad, 2013-14,Kharif,27065,0.73,Bajra,2013,19.165,16.4,7.91,3.955,44.71,33.83,25.19,9.09
allahabad, 2014-15,Kharif,25672,0.69,Bajra,2014,15.595,14.085,2.635,3.9525,49.4,38.66,25.37,10.6
allahabad, 2015-16,Kharif,28818,0.9,Bajra,2015,16.205,13.3675,5.27,1.3175,48.32,39.21,24.9,14.26
allahabad, 2016-17,Kharif,27343,0.95,Bajra,2016,18.095,16.19,7.91,3.955,47.0,33.43,25.17,10.31
allahabad, 2017-18,Kharif,18169,0.75,Bajra,2017,17.425,15.3975,7.91,1.3175,48.87,37.45,25.18,9.9
allahabad, 2018-19,Kharif,23921,1.34,Bajra,2018,17.395,15.745,5.275,3.955,45.95,33.73,24.65,11.94
allahabad, 2019-20,Kharif,27043,1.23,Bajra,2019,16.815,17.2575,5.275,5.275,48.22,36.32,25.44,12.49
allahabad,2020-21,Kharif,25948,1.2,Bajra,2020,19.775,15.765,7.91,2.635,41.59,34.43,23.25,10.15
allahabad,2021-22,Kharif,28971,1.06,Bajra,2021,19.47,16.3725,7.795,3.2525,43.2,34.3,24.72,10.88
ambedkar nagar, 2004-05,Kharif,41,1.56,Bajra,2004,18.74,13.885,5.27,1.3175,44.34,39.21,24.4,12.46
ambedkar nagar, 2005-06,Kharif,78,1.56,Bajra,2005,16.05,15.6725,7.91,2.635,47.98,34.67,25.5,8.65
ambedkar nagar, 2006-07,Kharif,34,1.5,Bajra,2006,18.525,14.71,7.91,1.3175,45.44,37.19,25.23,8.53
ambedkar nagar, 2007-08,Kharif,11,1.55,Bajra,2007,17.03,16.0675,2.635,3.955,46.89,35.19,24.91,10.85
ambedkar nagar, 2008-09,Kharif,27,1.67,Bajra,2008,20.355,16.8625,13.185,3.955,42.57,33.1,24.19,9.07
ambedkar nagar, 2009-10,Kharif,16,1.69,Bajra,2009,15.5,15.6575,5.275,2.635,46.52,38.9,25.0,8.68
ambedkar nagar, 2010-11,Kharif,17,1.0,Bajra,2010,16.385,16.905,5.275,2.635,46.13,34.89,24.57,10.66
ambedkar nagar, 2011-12,Kharif,193,1.9,Bajra,2011,18.34,16.5375,7.91,3.955,44.79,33.51,25.21,10.69
ambedkar nagar, 2012-13,Kharif,8,0.88,Bajra,2012,15.32,15.7625,5.275,5.275,48.61,34.3,24.83,7.44
ambedkar nagar, 2013-14,Kharif,53,0.96,Bajra,2013,19.38,16.375,7.91,3.9525,41.48,33.79,24.93,9.19
ambedkar nagar, 2014-15,Kharif,14,1.21,Bajra,2014,16.33,14.5725,5.27,3.9525,48.53,37.32,25.33,9.34
ambedkar nagar, 2015-16,Kharif,23,0.52,Bajra,2015,16.235,13.1675,5.27,1.3175,48.49,38.63,25.17,14.51
