District,Year,Season,Area (Hectare),Yield (Tonnes/Hectare),Crop,Start_Year,Humidity_Sowing,Humidity_Full,Rainfall_Sowing,Rainfall_Full,Max_Temperature_Sowing,Max_Temperature_Full,Min_Temperature_Sowing,Min_Temperature_Full
agra, 2004-05,Rabi,88236,1.23,Rapeseed &Mustard,2004,18.04,9.725416667,2.635,0.878333333,39.53,47.25,21.39,4.51
agra, 2005-06,Rabi,77734,1.44,Rapeseed &Mustard,2005,17.395,9.135,2.635,1.318333333,41.02,48.05,21.69,3.1
agra, 2006-07,Rabi,71073,1.26,Rapeseed &Mustard,2006,17.21,9.72625,0.0,0.878333333,38.88,47.41,21.76,3.1
agra, 2007-08,Rabi,78914,1.4,Rapeseed &Mustard,2007,18.095,9.2925,2.635,1.3175,38.21,47.99,20.23,3.08
agra, 2008-09,Rabi,66487,1.57,Rapeseed &Mustard,2008,19.62,10.825,5.27,2.196666667,36.55,45.43,20.19,3.08
agra, 2009-10,Rabi,59168,1.44,Rapeseed &Mustard,2009,17.73,9.493333333,5.27,1.756666667,43.06,47.53,20.5,5.42
agra, 2010-11,Rabi,51457,1.76,Rapeseed &Mustard,2010,19.565,10.18125,5.27,1.3175,37.19,48.71,18.21,0.58
agra, 2011-12,Rabi,53177,1.71,Rapeseed &Mustard,2011,20.145,10.55458333,5.27,1.756666667,33.94,47.58,19.69,0.58
agra, 2012-13,Rabi,57422,1.9,Rapeseed &Mustard,2012,19.56,9.520416667,7.91,1.7575,34.79,48.61,17.48,0.03
agra, 2013-14,Rabi,53142,1.43,Rapeseed &Mustard,2013,19.53,11.04458333,5.275,2.196666667,33.89,47.98,20.8,0.03
agra, 2014-15,Rabi,45613,1.31,Rapeseed &Mustard,2014,17.485,9.35125,2.635,0.878333333,38.73,49.01,21.23,2.65
agra, 2015-16,Rabi,38621,1.22,Rapeseed &Mustard,2015,16.085,9.295,2.635,0.878333333,39.69,46.8,19.62,3.28
agra, 2016-17,Rabi,52027,1.77,Rapeseed &Mustard,2016,19.685,9.898333333,2.635,1.7575,34.79,47.48,22.05,2.37
agra, 2017-18,Rabi,53836,2.12,Rapeseed &Mustard,2017,17.15,9.132916667,2.635,0.878333333,39.15,47.3,20.67,2.37
agra, 2018-19,Rabi,61193,2.21,Rapeseed &Mustard,2018,19.655,10.35666667,7.91,2.1975,34.37,47.14,18.66,2.62
agra, 2019-20,Rabi,54866,1.73,Rapeseed &Mustard,2019,20.445,10.86708333,5.27,1.3175,36.76,48.75,22.15,2.01
agra,2020-21,Rabi,55336,2.22,Rapeseed &Mustard,2020,18.74,10.0225,2.635,0.91375,39.47,47.58,21.86,2.01
agra,2021-22,Rabi,95760,2.24,Rapeseed &Mustard,2021,20.72,11.06791667,5.35,2.355416667,35.06,45.59,22.44,3.35
aligarh, 2004-05,Rabi,24760,1.35,Rapeseed &Mustard,2004,18.28,10.23625,2.635,1.3175,38.45,46.5,20.94,3.98
aligarh, 2005-06,Rabi,18311,1.26,Rapeseed &Mustard,2005,18.555,9.795833333,5.27,1.7575,39.4,48.26,21.05,2.96
aligarh, 2006-07,Rabi,24760,1.11,Rapeseed &Mustard,2006,17.855,10.25083333,0.0,1.318333333,37.67,45.72,20.62,2.96
aligarh, 2007-08,Rabi,19951,1.26,Rapeseed &Mustard,2007,19.745,10.24625,5.27,1.756666667,36.08,48.4,21.51,3.36
aligarh, 2008-09,Rabi,24618,1.38,Rapeseed &Mustard,2008,20.17,11.52,7.91,2.636666667,34.31,45.12,19.08,3.85
aligarh, 2009-10,Rabi,21584,1.41,Rapeseed &Mustard,2009,19.535,10.13625,5.27,1.756666667,41.7,46.76,21.74,4.55
aligarh, 2010-11,Rabi,18910,1.46,Rapeseed &Mustard,2010,20.355,10.68583333,7.91,2.1975,35.26,48.02,18.26,1.08
aligarh, 2011-12,Rabi,21390,1.37,Rapeseed &Mustard,2011,20.385,11.16208333,7.91,2.196666667,33.57,46.18,20.33,1.08
aligarh, 2012-13,Rabi,20479,1.99,Rapeseed &Mustard,2012,19.81,9.705833333,7.91,1.7575,35.43,48.19,17.51,1.03
aligarh, 2013-14,Rabi,21632,1.46,Rapeseed &Mustard,2013,19.93,11.39291667,7.91,3.075833333,33.99,47.65,20.43,1.03
aligarh, 2014-15,Rabi,19731,1.0,Rapeseed &Mustard,2014,16.845,9.2475,5.27,1.3175,40.02,48.9,21.09,2.65
aligarh, 2015-16,Rabi,19681,1.17,Rapeseed &Mustard,2015,16.935,9.582916667,5.27,1.756666667,38.58,47.24,18.33,3.9
aligarh, 2016-17,Rabi,25118,1.39,Rapeseed &Mustard,2016,20.02,10.18,2.635,1.7575,33.9,46.59,22.65,2.09
aligarh, 2017-18,Rabi,24014,1.64,Rapeseed &Mustard,2017,18.735,9.785833333,5.27,1.3175,37.51,47.23,20.58,2.09
aligarh, 2018-19,Rabi,23581,1.7,Rapeseed &Mustard,2018,20.265,10.74458333,7.91,2.636666667,33.03,46.95,19.87,3.17
aligarh, 2019-20,Rabi,19665,1.43,Rapeseed &Mustard,2019,20.75,11.06833333,5.27,1.7575,35.05,47.94,21.8,2.58
aligarh,2020-21,Rabi,22953,1.71,Rapeseed &Mustard,2020,19.285,10.50125,2.635,0.8925,39.68,47.64,20.33,2.58
aligarh,2021-22,Rabi,36020,1.59,Rapeseed &Mustard,2021,20.42,11.27208333,4.145,2.597916667,35.11,44.37,22.19,4.05
allahabad, 2004-05,Rabi,1000,0.74,Rapeseed &Mustard,2004,18.89,10.59833333,5.27,1.756666667,39.71,47.53,22.51,5.19
allahabad, 2005-06,Rabi,1321,0.84,Rapeseed &Mustard,2005,20.295,10.41375,5.27,2.196666667,35.01,48.58,21.37,5.38
allahabad, 2006-07,Rabi,683,0.63,Rapeseed &Mustard,2006,18.345,10.6875,0.0,0.879166667,38.34,47.08,22.9,5.37
allahabad, 2007-08,Rabi,775,0.81,Rapeseed &Mustard,2007,20.23,10.70291667,5.27,1.3175,35.17,48.28,22.29,3.93
allahabad, 2008-09,Rabi,1049,0.9,Rapeseed &Mustard,2008,20.63,11.91291667,7.91,3.076666667,33.73,45.65,20.62,3.93
allahabad, 2009-10,Rabi,1084,0.92,Rapeseed &Mustard,2009,19.195,10.37791667,2.635,0.878333333,39.64,46.88,21.69,6.59
allahabad, 2010-11,Rabi,1107,0.94,Rapeseed &Mustard,2010,19.96,10.54,5.27,1.3175,36.57,47.71,19.96,3.46
allahabad, 2011-12,Rabi,1039,0.94,Rapeseed &Mustard,2011,20.69,11.56791667,7.91,2.636666667,33.3,46.55,21.76,3.46
allahabad, 2012-13,Rabi,1169,1.01,Rapeseed &Mustard,2012,20.295,10.82333333,7.91,2.1975,33.94,48.8,19.85,1.9
allahabad, 2013-14,Rabi,1239,0.81,Rapeseed &Mustard,2013,20.23,11.96583333,5.275,2.636666667,33.83,48.28,23.32,1.9
allahabad, 2014-15,Rabi,1329,0.41,Rapeseed &Mustard,2014,18.92,10.51875,5.27,1.756666667,38.66,49.4,22.36,4.73
allahabad, 2015-16,Rabi,1465,0.64,Rapeseed &Mustard,2015,18.005,10.33833333,2.635,1.3175,39.12,48.32,22.1,4.73
allahabad, 2016-17,Rabi,1215,0.85,Rapeseed &Mustard,2016,20.75,11.43875,7.91,2.636666667,33.43,47.05,23.13,2.32
allahabad, 2017-18,Rabi,1181,0.91,Rapeseed &Mustard,2017,20.235,10.66375,2.635,1.7575,34.16,48.87,20.89,2.32
allahabad, 2018-19,Rabi,1307,1.06,Rapeseed &Mustard,2018,20.385,10.98833333,7.91,2.1975,33.73,47.81,20.48,3.7
allahabad, 2019-20,Rabi,1337,1.27,Rapeseed &Mustard,2019,21.025,11.89875,10.55,2.6375,36.32,48.44,23.14,2.74
allahabad,2020-21,Rabi,1271,1.31,Rapeseed &Mustard,2020,20.725,12.00333333,5.27,2.196666667,34.33,48.29,20.47,2.74
allahabad,2021-22,Rabi,1595,1.11,Rapeseed &Mustard,2021,20.845,11.88833333,5.6,2.7125,34.3,44.54,23.55,4.21
ambedkar nagar, 2004-05,Rabi,3166,0.81,Rapeseed &Mustard,2004,18.98,10.84041667,2.635,1.3175,39.21,47.44,22.59,4.73
ambedkar nagar, 2005-06,Rabi,3340,1.16,Rapeseed &Mustard,2005,20.51,10.69708333,5.27,2.196666667,34.67,47.98,22.26,4.55
ambedkar nagar, 2006-07,Rabi,3312,1.26,Rapeseed &Mustard,2006,19.32,11.38666667,2.635,1.7575,35.62,45.44,21.85,4.49
ambedkar nagar, 2007-08,Rabi,3258,1.16,Rapeseed &Mustard,2007,20.57,11.46041667,7.91,1.7575,35.19,46.89,22.11,4.49
ambedkar nagar, 2008-09,Rabi,3699,0.68,Rapeseed &Mustard,2008,20.785,12.29458333,7.91,3.515833333,33.1,45.06,20.89,4.58
ambedkar nagar, 2009-10,Rabi,3668,0.78,Rapeseed &Mustard,2009,20.48,10.98166667,5.27,1.7575,38.9,46.52,22.21,5.19
ambedkar nagar, 2010-11,Rabi,3733,1.04,Rapeseed &Mustard,2010,20.69,11.30291667,5.27,1.7575,34.89,47.26,19.77,3.01
