District,Year,Season,Area (Hectare),Yield (Tonnes/Hectare),Crop,Start_Year,Humidity_Sowing,Humidity_Full,Rainfall_Sowing,Rainfall_Full,Max_Temperature_Sowing,Max_Temperature_Full,Min_Temperature_Sowing,Min_Temperature_Full
agra, 2004-05,Rabi,31616,27.83,Potato,2004,18.04,9.672083333,2.635,0.878333333,39.53,47.25,21.39,4.51
agra, 2005-06,Rabi,39800,24.72,Potato,2005,17.395,9.155416667,2.635,1.318333333,41.02,48.05,21.69,3.1
agra, 2006-07,Rabi,37453,23.26,Potato,2006,17.21,9.759166667,0.0,0.878333333,38.88,47.41,21.76,3.1
agra, 2007-08,Rabi,38149,25.17,Potato,2007,18.095,9.2875,2.635,1.3175,38.21,47.99,20.23,3.08
agra, 2008-09,Rabi,51772,24.13,Potato,2008,19.62,10.79958333,5.27,2.196666667,36.55,45.87,20.19,3.08
agra, 2009-10,Rabi,55230,25.13,Potato,2009,17.73,9.472916667,5.27,1.756666667,43.06,47.53,20.5,5.42
agra, 2010-11,Rabi,63851,26.47,Potato,2010,19.565,10.23708333,5.27,1.3175,37.19,48.71,18.21,0.58
agra, 2011-12,Rabi,60924,23.49,Potato,2011,20.145,10.58791667,5.27,1.756666667,33.94,47.58,19.69,0.58
agra, 2012-13,Rabi,55879,25.36,Potato,2012,19.56,9.505,7.91,1.7575,34.79,48.61,17.48,0.03
agra, 2013-14,Rabi,60110,23.99,Potato,2013,19.53,11.0775,5.275,2.196666667,33.89,47.98,20.8,0.03
agra, 2014-15,Rabi,67228,27.32,Potato,2014,17.485,9.447916667,2.635,0.878333333,38.73,49.01,21.23,2.65
agra, 2015-16,Rabi,77606,24.43,Potato,2015,16.085,9.119583333,2.635,0.878333333,39.69,46.8,19.62,3.28
agra, 2016-17,Rabi,67006,25.52,Potato,2016,19.685,9.888333333,2.635,1.7575,34.79,47.48,22.05,2.37
agra, 2017-18,Rabi,57879,26.9,Potato,2017,17.15,9.219166667,2.635,0.878333333,39.15,47.3,20.67,2.37
agra, 2018-19,Rabi,56630,33.4,Potato,2018,19.655,10.36458333,7.91,2.1975,34.37,47.14,18.66,2.62
agra, 2019-20,Rabi,57010,28.46,Potato,2019,20.445,10.9,5.27,1.3175,36.76,48.75,22.15,2.01
agra,2020-21,Rabi,58747,31.91,Potato,2020,18.74,9.865,2.635,0.91625,39.47,47.58,21.86,2.01
agra,2021-22,Rabi,74000,38.2,Potato,2021,20.72,11.07791667,5.35,2.353333333,35.06,46.81,22.44,3.35
aligarh, 2004-05,Rabi,8670,28.38,Potato,2004,18.28,10.17,2.635,1.3175,38.45,46.5,20.94,3.98
aligarh, 2005-06,Rabi,10291,23.24,Potato,2005,18.555,9.82625,5.27,1.7575,39.4,48.26,21.05,2.96
aligarh, 2006-07,Rabi,5313,23.83,Potato,2006,17.855,10.29416667,0.0,1.318333333,37.67,45.72,20.62,2.96
aligarh, 2007-08,Rabi,17934,21.19,Potato,2007,19.745,10.22333333,5.27,1.756666667,36.08,48.4,21.51,3.36
aligarh, 2008-09,Rabi,18264,21.86,Potato,2008,20.17,11.48958333,7.91,2.636666667,34.31,45.75,19.08,3.85
aligarh, 2009-10,Rabi,20051,27.4,Potato,2009,19.535,10.10833333,5.27,1.756666667,41.7,46.76,21.74,4.55
aligarh, 2010-11,Rabi,25401,25.72,Potato,2010,20.355,10.75958333,7.91,2.1975,35.26,48.02,18.26,1.08
aligarh, 2011-12,Rabi,26589,22.89,Potato,2011,20.385,11.19,7.91,2.196666667,33.57,46.18,20.33,1.08
aligarh, 2012-13,Rabi,25177,27.38,Potato,2012,19.81,9.690416667,7.91,1.7575,35.43,48.19,17.51,1.03
aligarh, 2013-14,Rabi,23306,21.9,Potato,2013,19.93,11.40083333,7.91,3.075833333,33.99,47.65,20.43,1.03
aligarh, 2014-15,Rabi,21683,25.92,Potato,2014,16.845,9.361666667,5.27,1.3175,40.02,48.9,21.09,2.65
aligarh, 2015-16,Rabi,26549,25.7,Potato,2015,16.935,9.4075,5.27,1.756666667,38.58,47.24,18.33,3.9
aligarh, 2016-17,Rabi,26299,24.86,Potato,2016,20.02,10.17,2.635,1.7575,33.9,46.59,22.65,2.09
aligarh, 2017-18,Rabi,23332,32.63,Potato,2017,18.735,9.8825,5.27,1.3175,37.51,47.23,20.58,2.09
aligarh, 2018-19,Rabi,22847,40.18,Potato,2018,20.265,10.74208333,7.91,2.636666667,33.03,46.95,19.87,3.17
aligarh, 2019-20,Rabi,22816,28.78,Potato,2019,20.75,11.12416667,5.27,1.7575,35.05,47.94,21.8,2.58
aligarh,2020-21,Rabi,22175,35.38,Potato,2020,19.285,10.33333333,2.635,0.901666667,39.68,47.64,20.33,2.58
aligarh,2021-22,Rabi,30250,36.6,Potato,2021,20.42,11.3,4.145,2.58875,35.11,46.37,22.19,4.05
allahabad, 2004-05,Rabi,11925,16.76,Potato,2004,18.89,10.50666667,5.27,1.756666667,39.71,47.53,22.51,5.19
allahabad, 2005-06,Rabi,10554,19.81,Potato,2005,20.295,10.50541667,5.27,2.196666667,35.01,48.58,21.37,5.38
allahabad, 2006-07,Rabi,14021,20.49,Potato,2006,18.345,10.69,0.0,0.879166667,38.34,47.08,22.9,5.37
allahabad, 2007-08,Rabi,14018,19.28,Potato,2007,20.23,10.65458333,5.27,1.3175,35.17,48.28,22.29,3.93
allahabad, 2008-09,Rabi,11936,14.98,Potato,2008,20.63,11.89,7.91,3.076666667,33.73,46.69,20.62,3.93
allahabad, 2009-10,Rabi,12634,17.48,Potato,2009,19.195,10.3525,2.635,0.878333333,39.64,46.88,21.69,6.59
