District,Year,Season,Area (Hectare),Yield (Tonnes/Hectare),Crop,Start_Year,Humidity_Sowing,Humidity_Full,Rainfall_Sowing,Rainfall_Full,Max_Temperature_Sowing,Max_Temperature_Full,Min_Temperature_Sowing,Min_Temperature_Full
agra, 2004-05,Kharif,1097,2.35,Rice,2004,10.71,14.076,0.0,2.108,47.25,45.26,20.12,12.36
agra, 2005-06,Kharif,1021,2.27,Rice,2005,8.7,14.098,0.0,3.164,48.05,41.02,21.51,10.16
agra, 2006-07,Kharif,1086,1.89,Rice,2006,11.41,14.048,2.635,1.054,47.41,41.75,24.9,8.7
agra, 2007-08,Kharif,1395,1.98,Rice,2007,11.32,13.49,2.635,2.108,47.99,40.1,26.73,11.3
agra, 2008-09,Kharif,4176,2.2,Rice,2008,13.365,16.124,2.635,4.218,45.43,37.35,25.61,8.88
agra, 2008-09,Summer,27,2.19,Rice,2008,13.365,16.124,2.635,4.218,45.43,37.35,25.61,8.88
agra, 2009-10,Kharif,4816,1.76,Rice,2009,8.24,14.562,0.0,4.216,47.53,43.31,25.31,7.51
agra, 2009-10,Summer,35,1.77,Rice,2009,8.24,14.562,0.0,4.216,47.53,43.31,25.31,7.51
agra, 2010-11,Kharif,4342,2.17,Rice,2010,8.515,16.14,0.0,3.162,48.71,44.01,26.69,8.42
agra, 2011-12,Kharif,6724,2.5,Rice,2011,11.72,15.92,2.635,3.162,47.58,38.21,25.74,10.42
agra, 2011-12,Summer,30,2.5,Rice,2011,11.72,15.92,2.635,3.162,47.58,38.21,25.74,10.42
agra, 2012-13,Kharif,3556,2.52,Rice,2012,8.025,14.806,0.0,4.218,48.61,46.07,22.26,8.3
agra, 2012-13,Summer,37,2.54,Rice,2012,8.025,14.806,0.0,4.218,48.61,46.07,22.26,8.3
agra, 2013-14,Kharif,8691,2.59,Rice,2013,10.74,16.418,2.635,4.218,47.98,38.05,23.79,7.93
agra, 2014-15,Kharif,10164,2.38,Rice,2014,9.185,13.038,0.0,2.108,49.01,45.54,24.76,10.1
agra, 2015-16,Kharif,9401,2.4,Rice,2015,9.43,13.098,0.0,2.108,46.8,41.49,24.5,10.46
agra, 2016-17,Kharif,4872,2.73,Rice,2016,11.23,15.028,0.0,4.218,47.48,41.98,25.58,10.0
agra, 2017-18,Kharif,5252,2.5,Rice,2017,10.895,13.452,0.0,2.108,47.3,40.48,24.15,8.31
agra, 2018-19,Kharif,5432,2.46,Rice,2018,10.47,15.858,0.0,5.274,47.14,41.69,24.4,9.64
agra, 2019-20,Kharif,5296,2.58,Rice,2019,9.125,16.566,0.0,3.162,48.75,44.21,24.01,13.06
agra, 2019-20,Summer,34,2.59,Rice,2019,9.125,16.566,0.0,3.162,48.75,44.21,24.01,13.06
agra,2020-21,Kharif,5962,2.72,Rice,2020,11.565,13.746,0.0,2.108,47.58,42.73,23.69,9.4
agra,2021-22,Kharif,5129,2.56,Rice,2021,12.48,16.358,1.65,4.636,45.59,45.25,22.64,9.19
aligarh, 2004-05,Kharif,38381,2.25,Rice,2004,11.535,14.49,2.635,2.108,46.5,43.78,18.67,11.58
aligarh, 2005-06,Kharif,36832,2.09,Rice,2005,8.575,15.234,0.0,4.218,48.26,40.58,22.32,8.23
aligarh, 2006-07,Kharif,38447,2.06,Rice,2006,12.39,14.636,2.635,2.11,45.72,42.04,25.69,8.15
aligarh, 2007-08,Kharif,47382,2.01,Rice,2007,12.33,15.014,2.635,3.162,48.4,40.06,25.75,10.13
aligarh, 2008-09,Kharif,47544,2.15,Rice,2008,13.61,17.078,2.635,5.274,45.12,34.35,24.39,8.24
aligarh, 2009-10,Kharif,66448,1.73,Rice,2009,8.665,15.588,0.0,4.216,46.76,42.15,25.78,7.01
