District,Year,Season,Area (Hectare),Yield (Tonnes/Hectare),Crop,Start_Year,Humidity_Sowing,Humidity_Full,Rainfall_Sowing,Rainfall_Full,Max_Temperature_Sowing,Max_Temperature_Full,Min_Temperature_Sowing,Min_Temperature_Full
agra, 2004-05,Kharif,230,49.67,Sugarcane,2004,4.61,11.16222222,0.0,1.171111111,36.01,47.25,4.51,11.3
agra, 2005-06,Kharif,231,50.38,Sugarcane,2005,4.76,10.98666667,0.0,1.757777778,33.11,48.05,4.65,10.16
agra, 2006-07,Kharif,178,53.85,Sugarcane,2006,3.45,11.48666667,0.0,1.171111111,37.22,47.41,3.1,8.7
agra, 2007-08,Kharif,247,52.53,Sugarcane,2007,4.7,11.33888889,0.0,1.756666667,32.39,47.99,3.35,9.57
agra, 2008-09,Kharif,172,51.15,Sugarcane,2008,2.595,12.91111111,0.0,2.928888889,34.62,45.43,3.08,8.88
agra, 2009-10,Kharif,388,43.2,Sugarcane,2009,4.61,10.92444444,0.0,2.342222222,34.47,47.53,6.3,7.51
agra, 2010-11,Kharif,163,50.9,Sugarcane,2010,4.975,11.82888889,0.0,1.756666667,34.87,48.71,5.42,8.42
agra, 2011-12,Kharif,206,47.48,Sugarcane,2011,4.915,12.62888889,0.0,2.342222222,32.33,47.58,0.58,10.42
agra, 2012-13,Kharif,297,45.35,Sugarcane,2012,4.24,11.06,0.0,2.343333333,33.08,48.61,1.37,7.71
agra, 2013-14,Kharif,255,47.99,Sugarcane,2013,4.76,12.81,0.0,2.928888889,31.46,47.98,0.03,7.93
agra, 2014-15,Kharif,145,42.11,Sugarcane,2014,6.105,10.80333333,0.0,1.171111111,28.01,49.01,2.65,9.07
agra, 2015-16,Kharif,224,46.71,Sugarcane,2015,4.945,11.21,0.0,1.171111111,33.68,46.8,3.28,8.08
agra, 2016-17,Kharif,153,53.6,Sugarcane,2016,3.355,11.95,0.0,2.343333333,36.12,47.48,4.48,10.0
agra, 2017-18,Kharif,256,56.68,Sugarcane,2017,4.21,10.93222222,0.0,1.171111111,35.09,47.3,2.37,8.31
agra, 2018-19,Kharif,205,54.86,Sugarcane,2018,3.36,12.33,0.0,2.93,35.43,47.14,4.8,9.64
agra, 2019-20,Kharif,213,65.8,Sugarcane,2019,4.73,12.58777778,0.0,1.756666667,29.52,48.75,2.62,9.39
agra,2020-21,Kharif,197,45.12555555555556,Sugarcane,2020,5.705,11.90222222,0.0,1.171111111,30.07,47.58,2.01,9.4
agra,2021-22,Kharif,197,45.12555555555556,Sugarcane,2021,4.7,12.82444444,0.425,2.948888889,36.25,45.59,3.35,9.19
