District,Year,Season,Area (Hectare),Yield (Tonnes/Hectare),Crop,Start_Year,Humidity_Sowing,Humidity_Full,Rainfall_Sowing,Rainfall_Full,Max_Temperature_Sowing,Max_Temperature_Full,Min_Temperature_Sowing,Min_Temperature_Full
agra, 2004-05,Rabi,124278,3.23,Wheat,2004,10.71,9.672083333,0.0,0.878333333,47.25,47.25,20.12,4.51
agra, 2005-06,Rabi,128432,3.31,Wheat,2005,8.7,9.155416667,0.0,1.318333333,48.05,48.05,21.51,3.1
agra, 2006-07,Rabi,124278,2.77,Wheat,2006,11.41,9.759166667,2.635,0.878333333,47.41,47.41,24.9,3.1
agra, 2007-08,Rabi,136334,3.15,Wheat,2007,11.32,9.2875,2.635,1.3175,47.99,47.99,26.73,3.08
agra, 2008-09,Rabi,131947,3.29,Wheat,2008,13.365,10.79958333,2.635,2.196666667,45.43,45.87,25.61,3.08
agra, 2009-10,Rabi,138121,3.18,Wheat,2009,8.24,9.472916667,0.0,1.756666667,47.53,47.53,25.31,5.42
agra, 2010-11,Rabi,138092,3.7,Wheat,2010,8.515,10.23708333,0.0,1.3175,48.71,48.71,26.69,0.58
agra, 2011-12,Rabi,134825,3.9,Wheat,2011,11.72,10.58791667,2.635,1.756666667,47.58,47.58,25.74,0.58
agra, 2012-13,Rabi,134889,3.83,Wheat,2012,8.025,9.505,0.0,1.7575,48.61,48.61,22.26,0.03
agra, 2013-14,Rabi,132340,3.71,Wheat,2013,10.74,11.0775,2.635,2.196666667,47.98,47.98,23.79,0.03
agra, 2014-15,Rabi,136036,2.41,Wheat,2014,9.185,9.447916667,0.0,0.878333333,49.01,49.01,24.76,2.65
agra, 2015-16,Rabi,120903,3.23,Wheat,2015,9.43,9.119583333,0.0,0.878333333,46.8,46.8,24.5,3.28
agra, 2016-17,Rabi,128553,4.08,Wheat,2016,11.23,9.888333333,0.0,1.7575,47.48,47.48,25.58,2.37
agra, 2017-18,Rabi,137141,4.04,Wheat,2017,10.895,9.219166667,0.0,0.878333333,47.3,47.3,24.15,2.37
agra, 2018-19,Rabi,132369,4.37,Wheat,2018,10.47,10.36458333,0.0,2.1975,47.14,47.14,24.4,2.62
agra, 2019-20,Rabi,137283,4.04,Wheat,2019,9.125,10.9,0.0,1.3175,48.75,48.75,24.01,2.01
agra,2020-21,Rabi,137658,4.26,Wheat,2020,11.565,9.865,0.0,0.91625,47.58,47.58,23.69,2.01
agra,2021-22,Rabi,141532,4.05,Wheat,2021,12.48,11.07791667,1.65,2.353333333,45.59,46.81,22.64,3.35
aligarh, 2004-05,Rabi,218709,2.89,Wheat,2004,11.535,10.17,2.635,1.3175,46.5,46.5,18.67,3.98
